Blog	four	looking	second	music	until	example	want	feature	wrong	easier	series	wasn	service	needed	project	tech	came	saying	than	best	lots	asked	much	pro	life	worked	things	had	possible	right	old	people	support	happy	inside	later	time	team	current	love	red	working	awesome	such	data	years	didn	internet	quite	open	city	future	san	turned	say	note	take	ways	going	where	jobs	screen	many	photos	single	technology	summer	being	around	traffic	world	power	favorite	her	gone	ad	am	original	tv	small	past	full	hours	pick	action	via	company	states	information	its	always	found	week	really	research	major	number	also	play	sometimes	microsoft	set	see	last	whole	recent	person	couple	d	continue	anything	into	link	line	posted	us	facebook	ago	age	having	results	try	video	let	great	makes	tools	next	process	high	allow	move	doing	could	system	lot	device	face	fact	should	hope	means	stuff	email	co	ve	site	vs	android	off	web	five	become	does	details	chance	announced	told	employees	work	provide	after	order	office	then	them	network	do	away	com	easy	air	hand	photo	thanks	night	security	comments	marketing	post	months	way	true	update	together	cost	change	usually	live	write	product	remember	still	non	year	happen	space	shows	care	couldn	mostly	online	price	america	]	only	between	article	comes	these	media	ceo	thinking	real	read	early	amp	business	aren	start	low	trying	building	month	very	learned	advertising	family	put	takes	taken	history	help	actually	event	leave	since	issue	reason	ask	american	mobile	less	pretty	during	x	won	probably	both	else	look	while	government	used	user	showing	game	popular	within	nothing	doesn	e	youtube	go	michael	click	following	products	started	control	links	hit	software	including	him	times	exactly	need	based	course	written	key	problem	well	page	twitter	home	he	stories	piece	star	friends	using	companies	across	likely	even	ever	million	never	call	tell	give	president	third	before	personal	better	weeks	went	side	content	isn	features	matter	seen	seem	don	m	points	stop	bad	said	against	appeared	three	website	make	left	human	yes	yet	deal	down	finally	did	run	making	may	man	maybe	talk	nbsp	group	interesting	earlier	thing	think	first	long	little	anyone	were	especially	show	behind	black	get	nearly	enough	reading	according	those	same	running	money	either	general	again	important	u	starting	fall	public	search	published	two	share	numbers	needs	maps	different	coming	through	someone	everyone	another	house	hard	idea	done	least	part	built	build	services	find	please	point	simple	simply	create	understand	fun	itself	yesterday	source	big	bit	google	often	back	decision	per	others	something	ll	day	text	national	taking	file	almost	ios	center	thought	latest	add	works	biggest	buy	minutes	special	under	every	school	street	york	would	phone	must	me	keep	end	over	writing	each	got	free	days	already	top	too	tool	took	talking	though	watch	amazon	report	however	news	been	quickly	several	social	able	gave	everything	head	check	no	cool	says	goes	water	[	today	local	platform	name	she	turn	place	white	released	any	ideas	sure	state	federal	come	case	good	html	without	seems	blog	there	follow	program	far	fan	list	design	version	known	rather	short	perhaps	might	wouldn	feel	story	kind	added	windows	his	wrote	art	recently	creating	attention	customers	most	called	nice	users	once	issues	apple	app	use	few	women	six	instead	looks	our	g	their	july	which	who	why	watching	words	view	available	gets	percent	other	smart	know	press	because	lead	getting	own	apps	made	whether	book	june
SimpleBits	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	3	0	0	1	0	0	0	1	2	0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	1	9	1	1	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	9	0	0	0	0	2	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	1	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	1	0	1	0	0	1	0	0	1	1	0	1	0	0	0	0	1	0	0	1	4	0	0	0	1	0	1	0	2	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	1	0	0	0	0	9	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	7	0	0	1	1	0	1	0	0	0	0	0	0	1	0	1	0	2	0	0	1	1	0	0	0	0	0	1	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	2	0	2	0	8	0
Publishing 2.0	0	1	1	0	0	2	2	6	1	0	0	0	1	0	2	0	0	0	3	3	1	1	3	0	0	0	1	5	0	6	1	3	1	0	0	0	2	1	0	0	0	0	2	0	1	2	0	4	1	3	1	21	0	0	1	0	1	0	3	4	2	1	6	0	0	4	0	2	4	2	2	1	0	0	1	9	6	2	2	0	0	5	0	0	2	0	3	0	3	4	0	1	5	0	0	2	2	1	1	1	0	2	2	4	0	3	0	0	1	2	0	1	12	0	2	6	5	1	2	0	1	0	0	1	6	0	1	2	0	2	1	0	3	8	0	3	0	0	1	4	2	1	1	1	0	5	9	0	0	1	22	1	4	0	0	0	1	0	0	2	0	0	0	0	2	1	2	2	1	10	1	0	0	1	0	0	0	0	0	9	1	4	1	1	1	0	1	1	0	0	1	0	3	0	1	4	2	1	2	2	0	9	0	0	48	1	0	5	2	5	13	0	2	0	1	0	0	7	0	2	0	2	0	0	2	0	23	0	3	0	0	1	2	0	0	0	2	0	1	2	0	0	1	0	0	0	1	0	2	0	0	3	1	2	2	0	2	0	0	1	1	2	3	1	0	0	0	0	1	2	7	0	0	0	0	4	2	2	1	1	0	0	1	1	12	6	0	4	9	0	0	0	2	8	1	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	14	2	2	1	0	1	6	5	1	1	0	1	0	2	3	0	5	2	2	0	1	0	2	1	0	0	3	3	0	0	1	0	0	2	1	1	2	8	2	0	3	0	0	1	1	0	6	0	3	8	1	2	0	0	3	0	2	0	7	1	0	1	0	1	3	3	1	0	3	0	0	0	5	1	2	0	1	1	1	0	1	0	0	0	1	1	0	0	2	0	1	1	0	0	1	0	4	1	9	2	1	0	0	1	0	2	0	3	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	2	0	0	5	2	0	0	1	1	2	4	1	1	3	2	3	1	1	2	0	0	0	1	0	0	2	0	56	5	0	1	1	0	0	3	3	0	6	1	0	1	0	48	5	3	2	1	0	0	0	0	0	3	0	1	2	0	1	2	1	0	1	1	6	10	0	2	0	0	0	0	0	0	2	0	1	1	0	0	4	5	1	0	4	1	0	1	1	1	0	13	3	0	1	0	0	0	0	2	4	0	0	1	1	8	1	7	0	11	2	9	1	0	0	0	2	0	7	0	2	3	5	2	0	2	0	1	1	2	0
mezzoblue	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	3	0	0	0	0	0	0	0	0	1	0	0	0	2	1	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	2	1	0	0	0	1	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	1	0	0	0	5	2	0	0	1	3	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
Eschaton	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	1	0	3	0	1	1	6	0	1	0	1	2	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	2	3	1	0	2	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	2	1	1	0	5	0	1	0	3	0	1	0	1	0	1	0	0	3	0	1	0	2	2	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	1	3	0	0	0	0	2	1	0	0	1	2	1	0	0	0	4	0	0	0	1	0	0	0	1	0	0	1	0	0	0	2	2	0	2	1	0	0	0	0	0	1	3	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	1	1	0	0	1	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	2	0	0	0	3	0	0	0	0	0	0	1	0	2	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	2	3	1	1	1	2	0	0	2	0	1	0	0	0	0	0	3	0	1	2	0	0	0	2	0	0	0	0	0	3	2	1	0	0	0	1	2	0	0	0	2	0	1	0	1	0	0	0	2	1	0	0	1	0	0	0	1	0	0	4	0	0	1	0	0	2	0	0	0	2	0	1	1	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1	3	0	2	1	0	0	0	2	2	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	3	0	1	0	0	1	2	1	0	2	0	1	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0	0	1	0	0	0	2	0	0	1	0	0	1	0	0	0	0	1	0	2	4	0	0	1	2	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	1	0	0	0	0	0	3	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	4	0	4	3	1	0	0	0	0	1	0	4	1	2	1	2	0	0	1	0	1	0	0	0
PerezHilton	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	2	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	10	0	0	0	1	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	4	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	6	0	0	5	2	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	5	0	0	1	0	0	2	0	1	0	0	0	6	1	0	0	0	0	0	0	0	3	0	0	0	1	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	10	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	1	1	0	1	0	0	0	1	0	1	0	0	0	1	1	0	1	0	2	1	1	0
Slashdot	0	2	0	0	0	1	1	1	0	2	5	0	1	2	2	2	1	0	8	0	1	1	6	6	3	1	7	4	0	1	0	3	4	0	0	1	8	0	4	0	0	3	0	5	4	1	0	9	0	0	0	0	0	1	3	1	2	0	1	0	2	3	4	1	0	3	0	2	3	0	2	4	1	0	2	1	0	0	0	1	0	1	0	0	0	1	6	1	5	10	1	1	5	0	5	0	1	5	0	0	8	1	1	6	0	1	0	0	0	0	0	7	2	1	1	4	0	1	0	2	0	0	6	3	0	1	3	4	3	3	3	0	4	9	1	1	2	2	1	2	1	0	4	1	0	1	0	0	1	5	2	0	8	0	0	0	2	1	0	5	2	2	0	0	4	2	1	2	0	0	1	6	0	0	1	0	8	0	4	0	1	1	0	0	1	3	2	1	0	2	2	0	1	0	9	0	3	0	0	0	1	1	0	0	0	5	2	1	0	2	1	2	0	1	26	0	0	4	0	0	3	0	0	1	4	1	1	0	1	2	0	0	1	1	1	1	2	0	0	0	1	2	4	1	3	0	1	1	4	0	1	2	5	2	2	1	0	0	1	2	3	0	0	1	0	1	0	1	1	0	0	1	4	0	0	1	0	3	1	0	0	3	5	5	1	0	0	4	0	3	0	0	3	4	3	1	4	1	0	1	1	1	0	1	2	3	2	1	0	0	5	1	2	3	1	0	1	1	0	2	0	1	3	0	0	0	1	1	2	1	0	2	1	5	2	0	1	0	1	0	0	0	0	3	0	2	0	1	8	4	2	1	3	2	1	3	0	1	0	2	1	3	3	5	0	0	2	0	2	1	2	0	0	1	4	3	2	2	0	1	0	0	0	2	0	0	0	0	2	0	1	1	0	1	1	1	4	0	0	2	0	1	5	0	0	0	0	2	1	1	2	3	0	2	0	1	2	0	2	5	0	0	0	0	5	0	2	1	0	2	0	2	1	3	1	0	2	0	9	10	0	1	0	0	2	1	5	4	1	0	0	2	0	2	3	0	1	0	5	3	3	3	3	2	1	0	1	0	1	3	0	6	1	5	0	0	0	2	0	1	0	0	1	0	0	2	4	0	0	1	1	2	3	1	0	3	1	0	4	1	7	0	0	0	1	2	0	2	3	2	2	1	0	26	0	0	4	4	0	0	0	2	0	2	2	3	2	8	0	1	1	4	6	3	0	2	0	2	3	0	10	2	8	4	1	0	0	0	0	4	1	4	3	2	0	2	2	1	2	2	3	0	0	0
Matt Cutts: Gadgets, Google, and SEO	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	2	0	0	1	0	0	0	1	2	1	0	0	0	1	2	0	0	1	0	0	0	0	0	1	0	0	0	0	2	2	0	0	2	0	0	0	0	0	3	0	0	2	0	0	0	1	0	0	0	3	0	7	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	10	0	1	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	1	0	0	2	1	0	1	0	0	0	0	2	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	4	0	2	1	0	0	0	0	1	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	3	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	2	1	0	0	0	0	2	0	4	0	0	0	0	3	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	1	0	3	1	0	1	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	3	0	0	1	0	0	0	0	0	3	1	0	0	0	10	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	1	1	1	1	0	0	0	0	0	0	0	2	0	2	0	0	0	0	2	0	2	1
How to Change the World	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	10	0
Gothamist	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	1	2	1	0	0	5	0	1	0	0	0	7	0	0	0	1	0	0	1	0	3	1	0	0	0	6	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	2	4	3	1	4	0	2	8	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	2	0	0	1	0	0	0	0	6	0	0	0	1	0	2	3	1	0	1	1	0	0	5	0	0	0	3	2	0	0	0	0	0	2	0	1	0	0	5	0	2	0	1	0	4	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	1	0	0	0	10	2	0	2	0	0	2	2	0	0	0	0	0	0	0	2	0	0	0	0	2	2	1	0	0	0	0	0	0	1	0	0	0	7	0	0	0	0	1	0	0	0	1	25	2	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	1	2	1	0	1	0	0	1	0	1	0	0	1	1	1	0	0	0	1	1	0	0	0	0	1	3	0	0	1	1	0	2	1	0	1	0	0	0	0	2	0	0	1	0	1	1	3	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	3	0	0	0	2	0	1	0	1	0	0	1	0	0	1	0	1	0	1	1	0	0	8	0	0	0	0	0	0	2	1	0	1	1	0	1	0	5	0	0	6	1	2	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	4	1	0	1	0	0	1	1	0	0	1	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	3	1	0	0	2	1	2	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	2	1	0	2	4	3	0	0	0	3	3	3	0	1	0	0	4	1	3	0	0	1	1	1	0	0	0	0	2	5	1	1	0	0	0	0	0	0	3	0	0	1	0	25	4	3	0	0	0	0	1	1	0	0	0	1	2	0	1	0	1	0	0	0	0	2	2	0	0	2	1	1	0	1	0	0	0	0	0	1	0	1	0	0	9	0	0	1	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	1	0	4	0	8	3	2	8	0	0	0	0	1	1	0	1	0	2	0	1	0	0	1	0	1	0	0	0
we make money not art	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	2	0	2	2	6	0	0	2	0	1	0	2	0	0	2	0	0	5	2	0	0	0	0	6	1	0	0	0	0	0	0	1	3	0	0	0	0	0	1	0	2	2	0	2	0	0	0	0	0	1	0	0	0	1	1	0	0	1	3	0	0	1	3	0	0	0	2	0	1	2	3	0	0	0	1	2	0	0	1	0	0	1	15	0	1	0	0	0	1	0	0	0	1	0	0	1	0	2	1	0	0	1	0	0	0	0	0	0	1	2	1	0	1	0	3	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	5	1	1	1	0	2	1	0	3	0	1	1	1	0	0	0	0	0	1	0	2	0	1	0	0	0	0	1	1	0	0	0	0	2	0	2	0	0	1	0	0	0	0	0	2	0	4	4	0	0	5	1	0	0	1	0	0	1	0	0	0	0	0	1	2	2	0	0	0	0	2	0	0	0	2	0	0	1	2	0	0	0	0	2	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	3	0	1	1	0	0	0	0	1	0	0	0	7	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	2	0	0	0	0	2	0	3	0	1	1	0	2	0	0	0	0	0	2	1	1	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	3	0	0	0	2	0	4	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	2	0	0	0	1	0	0	2	0	0	1	0	0	3	0	0	2	0	0	0	0	0	0	0	2	2	0	1	1	2	0	1	0	0	4	0	0	1	0	0	0	0	1	0	1	1	0	2	0	0	0	2	3	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	6	1	0	1	0	0	2	0	3	0	1	0	1	0	0	1	1	0	0	0	0	1	1	2	1	0	0	1	0	0	2	0	0	2	0	0	0	1	0	0	1	1	0	0	1	1	2	0	0	2	0	1	0	0	0	2	0	1	0	2	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	13	0	0	1	0	1	1	0	0	0	0	0	3	3	2	1	0	0	0	6	0	10	0	3	5	0	0	0	0	2	0	0	2	0	3	0	2	0	0	2	0	1	0	5	0
BuzzMachine	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	3	0	0	1	0	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	2	0	3	0	0	0	0	0	2	0	1	0	0	1	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	14	0	0	0	0	1	2	2	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	3	0	0	0	0	0	0	1	1	0	1	0	1	4	0	0	1	7	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	1	0	0	3	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	2	1	0	0	0	0	0	2	0	1	0	2	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	3	0	0	1	1	0	0	0	0	1	0	0	0	1	0	1	0	5	1	0	0	0	1	0	0	1	0	0	0	0	4	0	2	0	0	0	1	0	0	0	0	0	0	1	0	2	1	0	0	2	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	7	1	0	0	4	0	0	0	2	0	4	0	0	0	0	14	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	3	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	1	4	1	1	1	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0
